date,description,amount
2025-04-07,Carte X2648 Gaumenschmaus Frisch 04/04,-8.1
2025-04-07,Carte X2648 Rewe Hamburg/gross 04/04,-12.63
2025-04-07,Carte X9795 Budnikowsky Hamburg 05/04,-24.96
2025-04-07,Carte X9795 Rewe Hamburg/gross 05/04,-21.91
2025-04-08,Virement Paierie Régionale D'auvergne Rho,-237.5
2025-04-08,Carte X9795 Rewe Hamburg/gross 07/04,-12.55
2025-04-09,Virement Groupe Esc Clermont - Auvergne,-420.0
2025-04-09,Carte X9795 Apple.com/bill 08055 08/04,-13.49
2025-04-10,Carte X9795 Rewe Hamburg/gross 09/04,-2.23
2025-04-11,Carte X9795 Jacko's Churros Schm 10/04,-6.0
2025-04-14,Carte X9795 Gaumenschmaus Frisch 11/04,-6.6
2025-04-14,Carte X9795 Mediamarktsaturn Ham 12/04,-255.0
2025-04-14,Carte X9795 Rewe Hamburg/gross 12/04,-14.96
2025-04-14,Carte X9795 Rewe Hamburg/gross 11/04,-4.38
2025-04-15,Carte X9795 Rewe Hamburg/gross 14/04,-7.47
2025-04-16,Carte X9795 Le Meridien Hamburg 15/04,-20.9
2025-04-17,Carte X9795 Rewe Hamburg/gross 16/04,-9.95
2025-04-22,Carte X9795 Rewe Hamburg/gross 17/04,-33.91
2025-04-22,Carte X9795 Rewe Hamburg/gross 19/04,-2.88
2025-04-22,Carte X9795 Rewe Gm Hamburg/gr 19/04,-5.25
2025-04-22,Ret DAB X9795 Hamburger Sparkasse 21/04,-70.0
2025-04-23,Carte X9795 Rewe Hamburg/gross 22/04,-6.36
2025-04-24,Frais ** Fourniture carte débit,-23.0
2025-04-25,Virement Drfip Ile De France Et De Paris 6,-375.85
2025-04-25,Carte X9795 Eventim / Tickets Am 24/04,-39.69
2025-04-25,Carte X9795 Rewe Hamburg/gross 24/04,-1.39
2025-04-25,Carte X9795 Rewe Hamburg/gross 24/04,-11.72
2025-04-28,Carte X9795 Budnikowsky Hamburg 25/04,-1.29
2025-04-28,Carte X9795 Db Vertrieb Gmbh Ber 27/04,-79.99
2025-04-28,Carte X9795 Rewe Gm Hamburg/gr 26/04,-0.94
2025-04-28,Carte X9795 Sumup *kowalski s St 26/04,-3.5
2025-04-29,Carte X9795 Rewe Hamburg/gross 28/04,-12.74
2025-04-30,Carte X9795 Rewe Hamburg/gross 29/04,-5.48
2025-05-02,Carte X9795 Alster Fruchthaus Ha 01/05,-5.25
2025-05-02,Carte X9795 Db Service Store Ham 01/05,-4.0
2025-05-02,Carte X9795 Jet-tankstelle Hambu 01/05,-2.44
2025-05-02,Carte X9795 Rewe Hamburg/gross 30/04,-6.77
2025-05-02,Carte X9795 Spaccaforno Boersenb 01/05,-23.4
2025-05-02,Carte X9795 Yormas Ag Hamburg 30/04,-3.0
2025-05-02,Carte X9795 Zoom Frankfurt am 01/05,-12.0
2025-05-02,Virement Mens.pel 66110322659 05/25,-50.0
2025-05-05,Carte X9795 Blablacar Paris 02/05,-29.78
2025-05-05,Carte X9795 Burgerlich Hamburg 02/05,-14.3
2025-05-05,Carte X9795 Cos DE0572 Hamburg 02/05,-98.0
2025-05-05,Carte X9795 Freie Service Statio 04/05,-3.05
2025-05-05,Carte X9795 Moenckebergstrasse A 02/05,-55.0
2025-05-05,Carte X9795 Pasta & Passione Ber 03/05,-17.7
2025-05-05,Carte X9795 Total Autobahnstat.s 03/05,-1.0
2025-05-05,Carte X9795 Total Service Statio 03/05,-6.38
2025-05-05,Ret DAB X9795 Hamburger Sparkasse 03/05,-20.0
2025-05-05,Prlv Db Vertrieb Gmbh,-58.0
